dataset,embedding_size,num_layers,fold,loss,f1,acc,lr,it,peak_mem,seed,ppv
am,512,5,1,0.5353986664223017,0.7751618813253379,0.8385093167701864,0.0742629989981651,1998.0,14861559808.0,1,1
am,512,5,1,0.6137201728123414,0.749012803959328,0.8074534161490683,0.0742629989981651,1992.0,14861559808.0,1,0
am,1024,3,1,0.5640044760991209,0.7216935470946165,0.8260869565217391,0.0742629989981651,1999.0,20352983040.0,1,1
am,1024,3,1,0.6545439197659482,0.6786876106128245,0.7763975155279503,0.0742629989981651,1998.0,20352983040.0,1,0
am,1024,4,1,,,,,,,1,1
am,1024,4,1,,,,,,,1,0
am,1024,5,1,,,,,,,1,1
am,1024,5,1,,,,,,,1,0
am,512,4,2,0.6797729812955126,0.6669332559171731,0.775,0.0742750018835067,1999.0,14668795904.0,2,1
am,512,4,2,0.7440726080498893,0.6601107601107601,0.75,0.0742750018835067,1993.0,14668795904.0,2,0
am,512,5,2,0.6919541312643744,0.6787135131008648,0.73125,0.0742750018835067,1999.0,14861559808.0,2,1
am,512,5,2,0.7109917817713678,0.7120226801622151,0.74375,0.0742750018835067,1996.0,14861559808.0,2,0
am,1024,1,2,1.009472506472931,0.574472550797255,0.66875,0.0742750018835067,1999.0,270512128.0,2,0
am,1024,2,2,0.7719403662479488,0.6358416841056276,0.7625,0.0742750018835067,1990.0,3752201728.0,2,1
am,1024,2,2,0.8075444108848682,0.6258456244803492,0.7625,0.0742750018835067,1999.0,3752201728.0,2,0
am,1024,3,2,0.6847510609353333,0.6424760935634128,0.75,0.0742750018835067,1999.0,20352983040.0,2,1
am,1024,3,2,0.7334112201790497,0.5986840959381483,0.70625,0.0742750018835067,1999.0,20352983040.0,2,0
am,1024,4,2,,,,,,,2,1
am,1024,4,2,,,,,,,2,0
am,1024,5,2,,,,,,,2,1
am,1024,5,2,,,,,,,2,0
